sim_time,front_x,Z,T
0.06,-57.5795,0.980858,0.0381665
0.12,-57.2407,0.987845,0.076333
0.18,-56.7606,0.997747,0.1145
0.24,-56.2018,1.00927,0.152666
0.3,-55.6097,1.02148,0.190833
0.36,-54.9013,1.03609,0.228999
0.42,-54.224,1.05006,0.267166
0.48,-53.6698,1.06149,0.305332
0.54,-52.8493,1.07841,0.343499
0.6,-52.1276,1.0933,0.381665
0.66,-51.2915,1.11054,0.419832
0.72,-50.3126,1.13073,0.457998
0.78,-49.4742,1.14802,0.496165
0.84,-48.5075,1.16795,0.534331
0.9,-47.5695,1.1873,0.572498
0.96,-46.4876,1.20961,0.610664
1.02,-45.599,1.22794,0.648831
1.08,-44.4826,1.25096,0.686997
1.14,-43.321,1.27492,0.725164
1.2,-42.0998,1.3001,0.76333
1.26,-40.7846,1.32723,0.801497
1.32,-39.3352,1.35712,0.839663
1.38,-37.7186,1.39046,0.87783
1.44,-36.0327,1.42523,0.915996
1.5,-34.2894,1.46118,0.954163
1.56,-33.3251,1.48107,0.992329
1.62,-31.7374,1.51381,1.0305
1.68,-30.0451,1.54871,1.06866
1.74,-28.231,1.58613,1.10683
1.8,-26.3165,1.62561,1.145
1.86,-24.3413,1.66635,1.18316
1.92,-22.3396,1.70763,1.22133
1.98,-20.3295,1.74908,1.25949
2.04,-18.3163,1.79061,1.29766
2.1,-17.7612,1.80205,1.33583
2.16,-15.7508,1.84351,1.37399
2.22,-13.713,1.88554,1.41216
2.28,-11.6485,1.92812,1.45033
2.34,-9.55664,1.97126,1.48849
2.4,-7.43593,2.015,1.52666
2.46,-5.28436,2.05937,1.56483
2.52,-3.10019,2.10442,1.60299
2.58,-0.882505,2.15015,1.64116
2.64,0.127947,2.17099,1.67933
2.7,2.41619,2.21818,1.71749
2.76,4.72668,2.26583,1.75566
2.82,7.05929,2.31394,1.79383
2.88,9.41505,2.36252,1.83199
2.94,11.7953,2.41161,1.87016
3,14.2012,2.46123,1.90833
3.05961,15.414,2.48624,1.94625
3.11799,17.8073,2.5356,1.98338
3.17571,20.1975,2.5849,2.02009
3.23276,22.5834,2.6341,2.05639
3.28875,24.9472,2.68285,2.092
3.34458,27.3257,2.7319,2.12752
3.40078,29.7405,2.78171,2.16326
3.4571,31.2866,2.81359,2.19909
3.51339,33.6887,2.86313,2.2349
3.56994,36.1197,2.91327,2.27087
3.62656,38.5702,2.96381,2.30689
3.68351,41.0504,3.01496,2.34311
3.7413,43.5819,3.06717,2.37988
3.79934,46.1388,3.1199,2.41679
3.85809,48.7632,3.17402,2.45417
3.91804,51.4895,3.23025,2.4923
3.97726,54.1994,3.28614,2.52997
4.03595,56.7181,3.33808,2.56731
4.09555,59.4237,3.39388,2.60521
4.15544,62.1603,3.45032,2.64331
4.21544,64.9206,3.50725,2.68147
4.27543,67.7004,3.56457,2.71964
4.33544,70.5002,3.62232,2.75781
4.39544,73.3208,3.68049,2.79597
4.45544,76.1632,3.73911,2.83414
4.51544,79.0279,3.79819,2.87231
4.57544,81.9153,3.85774,2.91047
4.63544,84.8241,3.91773,2.94864
4.69544,87.7529,3.97813,2.98681
4.75543,90.7004,4.03892,3.02497
4.81543,93.6657,4.10007,3.06314
4.87544,96.2782,4.15395,3.10131
4.93544,99.3326,4.21694,3.13947
4.99544,102.399,4.28018,3.17764
5.05544,104.018,4.31358,3.21581
5.11544,105.095,4.33579,3.25397
5.17544,105.154,4.337,3.29214
5.23544,105.343,4.34089,3.33031
5.29519,105.605,4.3463,3.36832
5.351,105.603,4.34626,3.40381
5.40185,105.625,4.34672,3.43616
5.45468,105.667,4.34757,3.46977
5.50881,105.667,4.34757,3.5042
5.55777,105.667,4.34757,3.53534
5.6061,105.667,4.34757,3.56609
5.66216,105.667,4.34757,3.60175
5.71672,105.667,4.34757,3.63645
5.76815,105.667,4.34757,3.66917
5.82222,105.667,4.34757,3.70356
5.87571,105.667,4.34757,3.73759
5.93402,105.667,4.34757,3.77468
5.99402,105.667,4.34757,3.81285
6.05402,105.667,4.34757,3.85101
6.11402,105.667,4.34757,3.88918
6.17299,105.667,4.34757,3.92669
6.23299,105.667,4.34757,3.96486
6.29299,105.667,4.34757,4.00303
6.35232,105.667,4.34757,4.04076
6.41232,105.667,4.34757,4.07893
6.47232,105.667,4.34757,4.1171
6.53232,105.667,4.34757,4.15526
6.59232,105.667,4.34757,4.19343
6.65166,105.667,4.34757,4.23118
6.70801,105.667,4.34757,4.26702
6.76435,105.667,4.34757,4.30286
6.82117,105.667,4.34757,4.339
6.87641,105.667,4.34757,4.37414
