sim_time,front_x,Z,T,cohesion,viscosity,tension,pressure
0.006,-57.7042,0.978287,0.00381665,0,3.14,0,16000
0.03,-57.6748,0.978893,0.0190833,0,3.14,0,16000
0.054,-57.6083,0.980264,0.0343499,0,3.14,0,16000
0.078,-57.5082,0.98233,0.0496165,0,3.14,0,16000
0.102,-57.3783,0.985008,0.0648831,0,3.14,0,16000
0.126,-57.2233,0.988205,0.0801497,0,3.14,0,16000
0.15,-57.0506,0.991767,0.0954163,0,3.14,0,16000
0.174,-56.8627,0.995642,0.110683,0,3.14,0,16000
0.198,-56.663,0.99976,0.12595,0,3.14,0,16000
0.222,-56.4545,1.00406,0.141216,0,3.14,0,16000
0.246,-56.2393,1.0085,0.156483,0,3.14,0,16000
0.27,-56.0184,1.01305,0.171749,0,3.14,0,16000
0.294,-55.7922,1.01772,0.187016,0,3.14,0,16000
0.318,-55.4841,1.02407,0.202283,0,3.14,0,16000
0.342,-55.2377,1.02916,0.217549,0,3.14,0,16000
0.366,-54.988,1.0343,0.232816,0,3.14,0,16000
0.39,-54.7352,1.03952,0.248082,0,3.14,0,16000
0.414,-54.4795,1.04479,0.263349,0,3.14,0,16000
0.438,-54.2208,1.05013,0.278616,0,3.14,0,16000
0.462,-53.9589,1.05553,0.293882,0,3.14,0,16000
0.486,-53.6853,1.06117,0.309149,0,3.14,0,16000
0.51,-53.3536,1.06801,0.324415,0,3.14,0,16000
0.534,-53.0021,1.07526,0.339682,0,3.14,0,16000
0.558,-52.6896,1.0817,0.354949,0,3.14,0,16000
0.582,-52.4024,1.08763,0.370215,0,3.14,0,16000
0.606,-52.111,1.09364,0.385482,0,3.14,0,16000
0.63,-51.8149,1.09974,0.400748,0,3.14,0,16000
0.654,-51.5138,1.10596,0.416015,0,3.14,0,16000
0.678,-51.1435,1.11359,0.431282,0,3.14,0,16000
0.702,-50.8431,1.11979,0.446548,0,3.14,0,16000
0.726,-50.5389,1.12606,0.461815,0,3.14,0,16000
0.75,-50.2308,1.13242,0.477081,0,3.14,0,16000
0.774,-49.9184,1.13886,0.492348,0,3.14,0,16000
0.798,-49.5861,1.14571,0.507615,0,3.14,0,16000
0.822,-49.2372,1.15291,0.522881,0,3.14,0,16000
0.846,-48.9317,1.15921,0.538148,0,3.14,0,16000
0.87,-48.622,1.16559,0.553414,0,3.14,0,16000
0.894,-48.2844,1.17256,0.568681,0,3.14,0,16000
0.918,-47.9405,1.17965,0.583948,0,3.14,0,16000
0.942,-47.59,1.18688,0.599214,0,3.14,0,16000
0.966,-47.2321,1.19426,0.614481,0,3.14,0,16000
0.99,-46.866,1.20181,0.629748,0,3.14,0,16000
1.014,-46.4902,1.20956,0.645014,0,3.14,0,16000
1.038,-46.1025,1.21755,0.660281,0,3.14,0,16000
1.062,-45.7011,1.22583,0.675547,0,3.14,0,16000
1.086,-45.2832,1.23445,0.690814,0,3.14,0,16000
1.11,-44.8452,1.24349,0.706081,0,3.14,0,16000
1.134,-44.3827,1.25302,0.721347,0,3.14,0,16000
1.158,-43.8908,1.26317,0.736614,0,3.14,0,16000
1.182,-43.8255,1.26451,0.75188,0,3.14,0,16000
1.206,-43.3968,1.27336,0.767147,0,3.14,0,16000
1.23,-42.9569,1.28243,0.782414,0,3.14,0,16000
1.254,-42.4996,1.29186,0.79768,0,3.14,0,16000
1.278,-42.0181,1.30179,0.812947,0,3.14,0,16000
1.302,-41.5069,1.31233,0.828213,0,3.14,0,16000
1.326,-40.962,1.32357,0.84348,0,3.14,0,16000
1.35,-40.3821,1.33553,0.858747,0,3.14,0,16000
1.374,-39.7685,1.34819,0.874013,0,3.14,0,16000
1.398,-39.1248,1.36146,0.88928,0,3.14,0,16000
1.422,-38.4563,1.37525,0.904546,0,3.14,0,16000
1.446,-37.7677,1.38945,0.919813,0,3.14,0,16000
1.47,-37.0629,1.40398,0.93508,0,3.14,0,16000
1.494,-36.3451,1.41879,0.950346,0,3.14,0,16000
1.518,-35.617,1.4338,0.965613,0,3.14,0,16000
1.542,-34.8806,1.44899,0.980879,0,3.14,0,16000
1.566,-34.137,1.46433,0.996146,0,3.14,0,16000
1.59,-33.3869,1.47979,1.01141,0,3.14,0,16000
1.614,-32.6306,1.49539,1.02668,0,3.14,0,16000
1.638,-31.8679,1.51112,1.04195,0,3.14,0,16000
1.662,-31.0985,1.52699,1.05721,0,3.14,0,16000
1.686,-30.3222,1.543,1.07248,0,3.14,0,16000
1.71,-29.5384,1.55917,1.08775,0,3.14,0,16000
1.734,-28.7467,1.57549,1.10301,0,3.14,0,16000
1.758,-27.9469,1.59199,1.11828,0,3.14,0,16000
1.782,-27.1387,1.60865,1.13355,0,3.14,0,16000
1.806,-26.322,1.6255,1.14881,0,3.14,0,16000
1.83,-25.4967,1.64252,1.16408,0,3.14,0,16000
1.854,-24.6629,1.65972,1.17935,0,3.14,0,16000
1.878,-23.8208,1.67708,1.19461,0,3.14,0,16000
1.902,-22.9704,1.69462,1.20988,0,3.14,0,16000
1.926,-22.1121,1.71232,1.22515,0,3.14,0,16000
1.95,-21.2461,1.73018,1.24041,0,3.14,0,16000
1.974,-21.5952,1.72298,1.25568,0,3.14,0,16000
1.998,-20.721,1.74101,1.27094,0,3.14,0,16000
2.022,-19.8392,1.7592,1.28621,0,3.14,0,16000
2.046,-18.9498,1.77754,1.30148,0,3.14,0,16000
2.07,-18.0531,1.79603,1.31674,0,3.14,0,16000
2.094,-17.1494,1.81467,1.33201,0,3.14,0,16000
2.118,-16.2391,1.83344,1.34728,0,3.14,0,16000
2.142,-15.3225,1.85235,1.36254,0,3.14,0,16000
2.166,-14.3999,1.87137,1.37781,0,3.14,0,16000
2.19,-13.4716,1.89052,1.39308,0,3.14,0,16000
2.214,-12.5377,1.90978,1.40834,0,3.14,0,16000
2.238,-11.5984,1.92915,1.42361,0,3.14,0,16000
2.262,-10.6538,1.94863,1.43888,0,3.14,0,16000
2.286,-9.70363,1.96823,1.45414,0,3.14,0,16000
2.31,-8.74798,1.98794,1.46941,0,3.14,0,16000
2.334,-7.78669,2.00776,1.48468,0,3.14,0,16000
2.358,-6.81962,2.02771,1.49994,0,3.14,0,16000
2.382,-5.84662,2.04777,1.51521,0,3.14,0,16000
2.406,-4.86759,2.06797,1.53048,0,3.14,0,16000
2.43,-3.88243,2.08828,1.54574,0,3.14,0,16000
2.454,-2.89108,2.10873,1.56101,0,3.14,0,16000
2.478,-1.89353,2.1293,1.57628,0,3.14,0,16000
2.502,-0.889836,2.15,1.59154,0,3.14,0,16000
2.526,0.119939,2.17083,1.60681,0,3.14,0,16000
2.55,1.13567,2.19177,1.62208,0,3.14,0,16000
2.574,1.89757,2.20749,1.63734,0,3.14,0,16000
2.598,2.91863,2.22854,1.65261,0,3.14,0,16000
2.622,3.94406,2.24969,1.66788,0,3.14,0,16000
2.646,4.9738,2.27093,1.68314,0,3.14,0,16000
2.67,6.00775,2.29225,1.69841,0,3.14,0,16000
2.694,7.04582,2.31366,1.71368,0,3.14,0,16000
2.718,8.08793,2.33515,1.72894,0,3.14,0,16000
2.742,9.13398,2.35673,1.74421,0,3.14,0,16000
2.766,10.1839,2.37838,1.75948,0,3.14,0,16000
2.79,11.2375,2.40011,1.77474,0,3.14,0,16000
2.814,12.2948,2.42192,1.79001,0,3.14,0,16000
2.838,13.3557,2.44379,1.80528,0,3.14,0,16000
2.862,14.4201,2.46575,1.82054,0,3.14,0,16000
2.886,15.4879,2.48777,1.83581,0,3.14,0,16000
2.91,16.559,2.50986,1.85108,0,3.14,0,16000
2.934,17.6334,2.53202,1.86634,0,3.14,0,16000
2.958,18.711,2.55424,1.88161,0,3.14,0,16000
2.982,19.7917,2.57653,1.89688,0,3.14,0,16000
3.006,20.8755,2.59888,1.91214,0,3.14,0,16000
3.03,21.9623,2.62129,1.92741,0,3.14,0,16000
3.054,23.0521,2.64377,1.94268,0,3.14,0,16000
3.078,24.1448,2.6663,1.95794,0,3.14,0,16000
3.102,25.2403,2.6889,1.97321,0,3.14,0,16000
3.126,26.3387,2.71155,1.98848,0,3.14,0,16000
3.15,27.4399,2.73426,2.00374,0,3.14,0,16000
3.174,27.5419,2.73636,2.01901,0,3.14,0,16000
3.198,28.6497,2.75921,2.03428,0,3.14,0,16000
3.222,29.7605,2.78212,2.04954,0,3.14,0,16000
3.246,30.8743,2.80509,2.06481,0,3.14,0,16000
3.27,31.9909,2.82812,2.08008,0,3.14,0,16000
3.294,33.1105,2.85121,2.09534,0,3.14,0,16000
3.318,34.233,2.87436,2.11061,0,3.14,0,16000
3.342,35.3584,2.89757,2.12587,0,3.14,0,16000
3.366,36.4865,2.92083,2.14114,0,3.14,0,16000
3.39,37.6176,2.94416,2.15641,0,3.14,0,16000
3.414,38.7515,2.96755,2.17167,0,3.14,0,16000
3.438,39.8882,2.99099,2.18694,0,3.14,0,16000
3.462,41.0278,3.01449,2.20221,0,3.14,0,16000
3.486,42.1702,3.03805,2.21747,0,3.14,0,16000
3.51,43.3155,3.06167,2.23274,0,3.14,0,16000
3.534,44.4636,3.08535,2.24801,0,3.14,0,16000
3.558,45.6146,3.10909,2.26327,0,3.14,0,16000
3.582,46.7685,3.13288,2.27854,0,3.14,0,16000
3.606,47.9253,3.15674,2.29381,0,3.14,0,16000
3.63,49.085,3.18066,2.30907,0,3.14,0,16000
3.654,50.2476,3.20464,2.32434,0,3.14,0,16000
3.678,51.4132,3.22867,2.33961,0,3.14,0,16000
3.702,52.5817,3.25277,2.35487,0,3.14,0,16000
3.726,52.1772,3.24443,2.37014,0,3.14,0,16000
3.75,53.3479,3.26857,2.38541,0,3.14,0,16000
3.774,54.5216,3.29278,2.40067,0,3.14,0,16000
3.798,55.6985,3.31705,2.41594,0,3.14,0,16000
3.822,56.8784,3.34139,2.43121,0,3.14,0,16000
3.846,58.0613,3.36578,2.44647,0,3.14,0,16000
3.87,59.2472,3.39024,2.46174,0,3.14,0,16000
3.894,60.436,3.41476,2.47701,0,3.14,0,16000
3.918,61.6278,3.43934,2.49227,0,3.14,0,16000
3.942,62.8224,3.46397,2.50754,0,3.14,0,16000
3.966,64.0199,3.48867,2.52281,0,3.14,0,16000
3.99,65.2202,3.51342,2.53807,0,3.14,0,16000
