sim_time,front_x,Z,T,cohesion,viscosity,tension
0.015,-57.6976,0.978422,0.00954163,0,3.14,0
0.075,-57.5217,0.982051,0.0477081,0,3.14,0
0.135,-57.1588,0.989534,0.0858747,0,3.14,0
0.195,-56.6864,0.999278,0.124041,0,3.14,0
0.255,-56.1551,1.01023,0.162208,0,3.14,0
0.315,-55.5129,1.02348,0.200374,0,3.14,0
0.375,-54.8921,1.03628,0.238541,0,3.14,0
0.435,-54.2522,1.04948,0.276707,0,3.14,0
0.495,-53.5921,1.06309,0.314874,0,3.14,0
0.555,-52.7249,1.08098,0.35304,0,3.14,0
0.615,-52.0005,1.09592,0.391207,0,3.14,0
0.675,-51.181,1.11282,0.429373,0,3.14,0
0.735,-50.4242,1.12843,0.46754,0,3.14,0
0.795,-49.6252,1.1449,0.505706,0,3.14,0
0.855,-48.8174,1.16156,0.543873,0,3.14,0
0.915,-47.9812,1.17881,0.582039,0,3.14,0
0.975,-47.091,1.19717,0.620206,0,3.14,0
1.035,-46.2602,1.2143,0.658372,0,3.14,0
1.095,-45.3117,1.23386,0.696539,0,3.14,0
1.155,-44.3105,1.25451,0.734705,0,3.14,0
1.215,-43.2736,1.2759,0.772872,0,3.14,0
1.275,-42.1582,1.2989,0.811038,0,3.14,0
1.335,-40.8729,1.32541,0.849205,0,3.14,0
1.395,-39.3932,1.35592,0.887371,0,3.14,0
1.455,-37.7799,1.3892,0.925538,0,3.14,0
1.515,-36.0928,1.42399,0.963704,0,3.14,0
1.575,-35.7154,1.43177,1.00187,0,3.14,0
1.635,-33.9888,1.46738,1.04004,0,3.14,0
1.695,-32.2125,1.50402,1.0782,0,3.14,0
1.755,-30.4024,1.54135,1.11637,0,3.14,0
1.815,-28.5687,1.57916,1.15454,0,3.14,0
1.875,-26.7166,1.61736,1.1927,0,3.14,0
1.935,-24.8478,1.6559,1.23087,0,3.14,0
1.995,-22.9618,1.6948,1.26904,0,3.14,0
2.055,-21.057,1.73408,1.3072,0,3.14,0
2.115,-19.1319,1.77378,1.34537,0,3.14,0
2.175,-18.6995,1.7827,1.38354,0,3.14,0
2.235,-16.7438,1.82304,1.4217,0,3.14,0
2.295,-14.7556,1.86404,1.45987,0,3.14,0
2.355,-12.7322,1.90577,1.49804,0,3.14,0
2.415,-10.6726,1.94824,1.5362,0,3.14,0
2.475,-8.57715,1.99146,1.57437,0,3.14,0
2.535,-6.44752,2.03538,1.61254,0,3.14,0
2.595,-4.2865,2.07995,1.6507,0,3.14,0
2.655,-2.09716,2.1251,1.68887,0,3.14,0
2.715,-1.27393,2.14208,1.72703,0,3.14,0
2.775,0.949668,2.18794,1.7652,0,3.14,0
2.835,3.19582,2.23426,1.80337,0,3.14,0
2.895,5.46675,2.2811,1.84153,0,3.14,0
2.95499,7.76427,2.32848,1.8797,0,3.14,0
3.01492,10.0873,2.37639,1.91781,0,3.14,0
3.07439,12.4212,2.42452,1.95564,0,3.14,0
3.13231,14.7211,2.47195,1.99249,0,3.14,0
3.18991,16.459,2.5078,2.02913,0,3.14,0
3.24678,18.7512,2.55507,2.06531,0,3.14,0
3.30276,21.026,2.60198,2.10092,0,3.14,0
3.35847,23.3066,2.64902,2.13635,0,3.14,0
3.41462,25.6226,2.69678,2.17207,0,3.14,0
3.47095,27.9624,2.74504,2.2079,0,3.14,0
3.52683,30.3004,2.79325,2.24345,0,3.14,0
3.58341,32.6841,2.84242,2.27944,0,3.14,0
3.64055,35.1089,2.89242,2.31579,0,3.14,0
3.698,36.9523,2.93044,2.35233,0,3.14,0
3.75648,39.4939,2.98286,2.38953,0,3.14,0
3.81521,42.0677,3.03594,2.42689,0,3.14,0
3.87461,44.6928,3.09008,2.46467,0,3.14,0
3.93461,47.3659,3.1452,2.50284,0,3.14,0
3.99461,50.0604,3.20078,2.54101,0,3.14,0
4.05461,52.776,3.25678,2.57917,0,3.14,0
4.11461,55.5122,3.31321,2.61734,0,3.14,0
4.17461,58.2685,3.37006,2.65551,0,3.14,0
4.23461,61.0448,3.42731,2.69367,0,3.14,0
4.29461,63.8408,3.48498,2.73184,0,3.14,0
4.35461,65.396,3.51705,2.77001,0,3.14,0
4.41461,68.2268,3.57543,2.80817,0,3.14,0
4.47461,71.0763,3.6342,2.84634,0,3.14,0
4.53461,73.944,3.69334,2.88451,0,3.14,0
4.59461,76.8294,3.75285,2.92267,0,3.14,0
4.65461,79.7319,3.81271,2.96084,0,3.14,0
4.71461,82.6511,3.87291,2.999,0,3.14,0
4.77461,85.5864,3.93345,3.03717,0,3.14,0
4.83461,88.5373,3.99431,3.07534,0,3.14,0
4.89461,91.5033,4.05548,3.1135,0,3.14,0
4.95461,94.4841,4.11695,3.15167,0,3.14,0
5.01461,96.2044,4.15243,3.18984,0,3.14,0
5.07461,99.2028,4.21427,3.228,0,3.14,0
5.13461,102.208,4.27624,3.26617,0,3.14,0
5.19461,104.226,4.31786,3.30434,0,3.14,0
5.25461,105.156,4.33704,3.3425,0,3.14,0
5.31461,105.416,4.34241,3.38067,0,3.14,0
5.37461,105.585,4.34589,3.41884,0,3.14,0
5.43461,105.632,4.34685,3.457,0,3.14,0
5.49461,105.569,4.34556,3.49517,0,3.14,0
5.54984,105.667,4.34757,3.5303,0,3.14,0
5.60024,105.667,4.34757,3.56236,0,3.14,0
5.6513,105.667,4.34757,3.59484,0,3.14,0
5.70812,105.667,4.34757,3.63099,0,3.14,0
5.7633,105.667,4.34757,3.66608,0,3.14,0
5.81739,105.667,4.34757,3.70049,0,3.14,0
5.87114,105.667,4.34757,3.73469,0,3.14,0
5.923,105.667,4.34757,3.76767,0,3.14,0
5.97502,105.54,4.34496,3.80076,0,3.14,0
6.03379,105.667,4.34757,3.83814,0,3.14,0
6.08997,105.667,4.34757,3.87388,0,3.14,0
6.14618,105.667,4.34757,3.90964,0,3.14,0
6.20528,105.667,4.34757,3.94723,0,3.14,0
6.26524,105.667,4.34757,3.98537,0,3.14,0
6.32524,105.667,4.34757,4.02354,0,3.14,0
6.3836,105.667,4.34757,4.06066,0,3.14,0
6.44326,105.667,4.34757,4.09862,0,3.14,0
6.50326,105.667,4.34757,4.13678,0,3.14,0
6.56326,105.667,4.34757,4.17495,0,3.14,0
6.62326,105.667,4.34757,4.21312,0,3.14,0
6.68326,105.667,4.34757,4.25128,0,3.14,0
6.74326,105.667,4.34757,4.28945,0,3.14,0
6.80244,105.667,4.34757,4.32709,0,3.14,0
6.86102,105.667,4.34757,4.36435,0,3.14,0
6.92101,105.667,4.34757,4.40251,0,3.14,0
6.97955,105.667,4.34757,4.43975,0,3.14,0
7.03763,105.667,4.34757,4.4767,0,3.14,0
7.09713,105.667,4.34757,4.51454,0,3.14,0
7.15388,105.667,4.34757,4.55064,0,3.14,0
7.21026,105.667,4.34757,4.58651,0,3.14,0
7.26542,105.667,4.34757,4.6216,0,3.14,0
7.32066,105.667,4.34757,4.65674,0,3.14,0
7.37761,105.667,4.34757,4.69296,0,3.14,0
7.43312,105.667,4.34757,4.72827,0,3.14,0
7.48817,105.667,4.34757,4.76329,0,3.14,0
7.54585,105.667,4.34757,4.79998,0,3.14,0
7.60356,105.667,4.34757,4.83669,0,3.14,0
7.66033,105.667,4.34757,4.8728,0,3.14,0
7.71468,105.667,4.34757,4.90738,0,3.14,0
7.76856,105.667,4.34757,4.94165,0,3.14,0
7.82385,105.667,4.34757,4.97682,0,3.14,0
7.87964,105.667,4.34757,5.01231,0,3.14,0
7.93537,105.667,4.34757,5.04776,0,3.14,0
7.99341,105.667,4.34757,5.08467,0,3.14,0
8.05225,105.667,4.34757,5.1221,0,3.14,0
8.10898,105.667,4.34757,5.15819,0,3.14,0
8.16748,105.667,4.34757,5.19541,0,3.14,0
8.22748,105.667,4.34757,5.23357,0,3.14,0
8.28653,105.667,4.34757,5.27113,0,3.14,0
8.34618,105.667,4.34757,5.30908,0,3.14,0
8.40618,105.667,4.34757,5.34724,0,3.14,0
8.46618,105.667,4.34757,5.38541,0,3.14,0
8.52618,105.667,4.34757,5.42358,0,3.14,0
8.58618,105.667,4.34757,5.46174,0,3.14,0
