sim_time,front_x,Z,T,cohesion,viscosity,tension,pressure
0.048,-57.6417,0.979576,0.0305332,20,3.14,20,4000
0.096,-57.4654,0.983213,0.0610664,20,3.14,20,4000
0.144,-57.2055,0.988572,0.0915996,20,3.14,20,4000
0.192,-56.8925,0.995026,0.122133,20,3.14,20,4000
0.24,-56.5498,1.0021,0.152666,20,3.14,20,4000
0.288,-56.1973,1.00936,0.183199,20,3.14,20,4000
0.336,-55.8025,1.01751,0.213732,20,3.14,20,4000
0.384,-55.4165,1.02547,0.244266,20,3.14,20,4000
0.432,-55.0324,1.03339,0.274799,20,3.14,20,4000
0.48,-54.6475,1.04133,0.305332,20,3.14,20,4000
0.528,-54.373,1.04699,0.335865,20,3.14,20,4000
0.576,-53.8597,1.05757,0.366399,20,3.14,20,4000
0.624,-53.4467,1.06609,0.396932,20,3.14,20,4000
0.672,-52.9735,1.07585,0.427465,20,3.14,20,4000
0.72,-52.358,1.08855,0.457998,20,3.14,20,4000
0.768,-51.8088,1.09987,0.488531,20,3.14,20,4000
0.816,-51.3484,1.10937,0.519065,20,3.14,20,4000
0.864,-50.7381,1.12195,0.549598,20,3.14,20,4000
0.912,-50.2415,1.1322,0.580131,20,3.14,20,4000
0.96,-49.5777,1.14588,0.610664,20,3.14,20,4000
1.008,-48.8616,1.16065,0.641197,20,3.14,20,4000
1.056,-48.1025,1.17631,0.671731,20,3.14,20,4000
1.104,-47.2817,1.19324,0.702264,20,3.14,20,4000
1.152,-46.3791,1.21185,0.732797,20,3.14,20,4000
1.2,-45.734,1.22516,0.76333,20,3.14,20,4000
1.248,-44.7595,1.24525,0.793864,20,3.14,20,4000
1.296,-43.7727,1.2656,0.824397,20,3.14,20,4000
1.344,-42.7644,1.2864,0.85493,20,3.14,20,4000
1.392,-41.707,1.30821,0.885463,20,3.14,20,4000
1.44,-40.5797,1.33146,0.915996,20,3.14,20,4000
1.488,-39.3764,1.35627,0.94653,20,3.14,20,4000
1.536,-38.1031,1.38253,0.977063,20,3.14,20,4000
1.584,-36.7714,1.40999,1.0076,20,3.14,20,4000
1.632,-35.3928,1.43843,1.03813,20,3.14,20,4000
1.68,-33.9779,1.46761,1.06866,20,3.14,20,4000
1.728,-32.5354,1.49736,1.0992,20,3.14,20,4000
1.776,-31.0694,1.52759,1.12973,20,3.14,20,4000
