sim_time,front_x,Z,T
0.015,-57.7017,0.978339,0.00954163
0.075,-57.6177,0.98007,0.0477081
0.135,-57.4493,0.983543,0.0858747
0.195,-57.2363,0.987936,0.124041
0.255,-57.0125,0.992551,0.162208
0.315,-56.7967,0.997003,0.200374
0.375,-56.5998,1.00106,0.238541
0.435,-56.4023,1.00514,0.276707
0.495,-56.2167,1.00896,0.314874
0.555,-56.1228,1.0109,0.35304
0.615,-55.8834,1.01584,0.391207
0.675,-55.7083,1.01945,0.429373
0.735,-55.4696,1.02437,0.46754
0.795,-55.0964,1.03207,0.505706
0.855,-54.8481,1.03719,0.543873
0.915,-54.4962,1.04445,0.582039
0.975,-53.9731,1.05523,0.620206
1.035,-53.4102,1.06684,0.658372
1.095,-52.6536,1.08245,0.696539
1.155,-51.7896,1.10027,0.734705
1.215,-50.8399,1.11985,0.772872
1.275,-49.7966,1.14137,0.811038
1.335,-48.6561,1.16489,0.849205
1.395,-47.4358,1.19006,0.887371
1.455,-46.1559,1.21645,0.925538
1.515,-44.8254,1.24389,0.963704
1.575,-43.4466,1.27233,1.00187
1.635,-42.0216,1.30172,1.04004
1.695,-40.8708,1.32545,1.0782
1.755,-39.4906,1.35392,1.11637
1.815,-38.0647,1.38332,1.15454
1.875,-36.588,1.41378,1.1927
1.935,-35.067,1.44515,1.23087
1.995,-33.5171,1.47711,1.26904
2.055,-31.9519,1.50939,1.3072
2.115,-30.3807,1.54179,1.34537
2.175,-28.808,1.57423,1.38354
2.235,-27.2314,1.60674,1.4217
2.295,-25.6956,1.63842,1.45987
2.355,-24.0168,1.67304,1.49804
2.415,-22.3418,1.70759,1.5362
2.475,-20.6034,1.74344,1.57437
2.535,-18.803,1.78057,1.61254
2.595,-16.9544,1.81869,1.6507
2.655,-15.076,1.85743,1.68887
2.715,-13.1831,1.89647,1.72703
2.775,-11.2851,1.93561,1.7652
2.835,-10.0841,1.96038,1.80337
2.895,-8.17024,1.99985,1.84153
2.955,-6.2338,2.03979,1.8797
3.015,-4.27239,2.08024,1.91787
3.075,-2.28503,2.12123,1.95603
3.134,-0.30602,2.16204,1.99356
3.19367,1.71896,2.2038,2.03152
3.25367,3.14777,2.23327,2.06969
3.31235,5.16586,2.27489,2.10701
3.37026,7.17788,2.31639,2.14385
3.42729,9.17784,2.35763,2.18013
3.484,11.1844,2.39901,2.2162
3.54078,13.2109,2.44081,2.25232
3.59659,15.2201,2.48225,2.28782
3.65245,17.2483,2.52407,2.32336
3.70977,19.2691,2.56575,2.35982
3.76623,21.3756,2.60919,2.39573
3.82376,23.5383,2.6538,2.43233
3.88361,25.8083,2.70061,2.4704
3.94334,28.0947,2.74776,2.50839
4.00247,30.3631,2.79455,2.54601
4.06207,32.6739,2.8422,2.58391
4.11998,34.9437,2.88902,2.62076
4.17775,36.5702,2.92256,2.6575
4.23562,38.9113,2.97084,2.69431
4.29236,41.2286,3.01863,2.73041
4.35018,43.6122,3.06779,2.76719
4.40799,46.0166,3.11738,2.80396
4.46535,48.4235,3.16702,2.84045
4.52337,50.8782,3.21764,2.87736
4.5798,53.2847,3.26727,2.91325
4.6365,55.7211,3.31752,2.94932
4.69431,57.6357,3.35701,2.98609
4.75165,60.1236,3.40831,3.02257
4.81017,62.6822,3.46108,3.05979
4.86763,65.2146,3.51331,3.09634
4.92496,67.761,3.56583,3.13281
4.9844,70.4229,3.62072,3.17062
5.0444,73.1328,3.67661,3.20879
5.1044,75.8665,3.73299,3.24695
5.1644,78.6245,3.78987,3.28512
5.2244,81.4063,3.84724,3.32329
5.2844,84.2111,3.90508,3.36145
5.3444,87.0371,3.96337,3.39962
5.4044,89.8822,4.02204,3.43779
5.4644,92.7441,4.08106,3.47595
5.5244,95.6209,4.1404,3.51412
5.5844,98.2924,4.19549,3.55229
5.6444,101.193,4.2553,3.59045
5.7044,104.078,4.3148,3.62862
5.7644,105.596,4.34612,3.66679
5.81971,105.667,4.34757,3.70196
5.86954,105.667,4.34757,3.73367
5.91666,105.667,4.34757,3.76364
5.96558,105.667,4.34757,3.79476
6.01913,105.667,4.34757,3.82882
6.06921,105.667,4.34757,3.86068
6.11284,105.667,4.34757,3.88843
6.16194,105.667,4.34757,3.91966
6.21112,105.667,4.34757,3.95094
6.2515,105.667,4.34757,3.97663
6.29888,105.667,4.34757,4.00677
6.34618,105.667,4.34757,4.03686
6.39128,105.667,4.34757,4.06555
6.43645,105.667,4.34757,4.09428
6.48271,105.667,4.34757,4.12371
6.5289,105.667,4.34757,4.15309
6.57284,105.667,4.34757,4.18104
6.61531,105.667,4.34757,4.20805
6.66024,105.667,4.34757,4.23663
