step,sim_time,dt,max_speed,max_accel
1,0.015,0.015,0,0
5,0.075,0.015,2.05444,33.7047
9,0.135,0.015,4.18096,20.9362
13,0.195,0.015,5.75162,13.9819
17,0.255,0.015,6.39499,15.1647
21,0.315,0.015,6.98744,12.7391
25,0.375,0.015,7.51087,9.54105
29,0.435,0.015,7.87118,11.2028
33,0.495,0.015,8.58829,11.0147
37,0.555,0.015,9.29461,8.78985
41,0.615,0.015,10.0411,6.85961
45,0.675,0.015,10.5946,6.54416
49,0.735,0.015,11.1435,6.98161
53,0.795,0.015,11.855,7.86891
57,0.855,0.015,12.513,7.1072
61,0.915,0.015,13.2778,7.50843
65,0.975,0.015,13.8692,7.25188
69,1.035,0.015,14.3622,6.73394
73,1.095,0.015,15.0543,6.75124
77,1.155,0.015,15.728,7.49213
81,1.215,0.015,16.5291,9.52417
85,1.275,0.015,17.2332,8.39088
89,1.335,0.015,17.7675,8.23947
93,1.395,0.015,18.4732,6.98819
97,1.455,0.015,19.3258,8.31801
101,1.515,0.015,19.9875,9.24339
105,1.575,0.015,20.6538,14.038
109,1.635,0.015,21.2471,16.3666
113,1.695,0.015,22.1269,16.5025
117,1.755,0.015,22.8738,17.7834
121,1.815,0.015,24.0206,23.6372
125,1.875,0.015,26.2963,91.3059
129,1.935,0.015,28.2821,138
133,1.995,0.015,30.2057,302.597
137,2.055,0.015,30.5397,487.798
141,2.115,0.015,34.5729,504.956
145,2.175,0.015,45.9302,503.638
149,2.235,0.015,57.8946,428.428
153,2.295,0.015,56.9618,536.895
157,2.355,0.015,57.4624,605.377
161,2.415,0.015,56.5244,554.396
165,2.475,0.015,56.6123,606.553
169,2.535,0.015,58.0191,680.499
173,2.595,0.015,58.5983,679.258
177,2.655,0.015,58.6047,708.762
181,2.715,0.015,58.253,634.837
185,2.775,0.015,58.509,616.036
189,2.835,0.015,75.5337,700.899
193,2.895,0.015,74.815,649.406
197,2.955,0.015,71.4812,631.886
201,3.015,0.015,74.9845,697.633
205,3.075,0.015,78.3727,712.609
209,3.135,0.015,79.0925,721.274
213,3.195,0.015,83.399,769.092
217,3.255,0.015,80.3912,623.928
221,3.315,0.015,85.4322,700.485
225,3.375,0.015,83.7219,700.281
229,3.435,0.015,79.3043,602.448
233,3.495,0.015,87.5442,558.32
237,3.555,0.015,89.338,607.807
241,3.615,0.015,89.4373,692.236
245,3.675,0.015,72.0679,673.804
249,3.735,0.015,73.694,607.087
253,3.795,0.015,74.9481,679.146
257,3.855,0.015,72.1362,569.268
261,3.915,0.015,70.7788,688.419
265,3.975,0.015,71.7407,784.629
269,4.035,0.015,72.4,980.438
273,4.09246,0.013731,70.3384,1325.98
277,4.14213,0.0119783,70.1681,1742.4
281,4.18576,0.01029,70.8727,2361.06
285,4.22677,0.0102168,72.5381,2395.01
289,4.27028,0.0110955,81.751,2030.7
293,4.31579,0.0110453,75.2107,2049.21
297,4.35877,0.0104446,76.7976,2291.7
301,4.39997,0.0102531,76.8677,2378.09
305,4.43901,0.00959593,99.8374,2714.97
309,4.47599,0.009245,90.9641,2925
313,4.5195,0.0108781,98.475,2112.7
317,4.56452,0.0105877,99.8564,2230.15
321,4.60687,0.0105877,99.8564,2230.15
325,4.6519,0.011416,97.2108,1918.28
329,4.69669,0.0109796,90.3198,2073.79
333,4.73815,0.0103655,88.7826,2326.79
337,4.78088,0.0119003,90.0373,1765.31
341,4.82868,0.011997,96.5698,1736.97
345,4.87617,0.0115007,103.853,1890.14
349,4.92163,0.0112308,103.942,1982.07
353,4.96678,0.0113066,107.561,1955.59
357,5.01151,0.0115332,107.218,1879.5
361,5.05771,0.0115651,109.104,1869.14
365,5.10369,0.0114718,109.939,1899.65
369,5.14552,0.0103425,106.38,2337.17
373,5.18862,0.0112068,103.845,1990.57
377,5.23615,0.0121076,102.489,1705.39
381,5.28749,0.0126129,112.346,1571.47
385,5.33086,0.0102537,113.703,2377.81
389,5.37234,0.010369,113.57,2325.24
393,5.4203,0.012087,120.493,1711.21
397,5.46691,0.0115094,122.582,1887.26
401,5.513,0.0115202,126.191,1883.72
405,5.55918,0.0115679,121.743,1868.22
409,5.60424,0.0111631,127.013,2006.17
413,5.64966,0.0113039,129.129,1956.52
417,5.69582,0.0117736,125.172,1803.51
