sim_time,accel_med,speed_med
0.0150,9.165,8.2297
0.0750,8.790,8.5883
0.1350,8.329,8.9414
0.1950,7.869,9.2946
0.2550,7.689,9.6679
0.3150,7.869,10.0411
0.3750,8.130,10.3178
0.4350,8.239,10.5946
0.4950,8.054,10.8690
0.5550,8.239,11.1435
0.6150,8.279,11.4992
0.6750,8.318,11.8550
0.7350,8.354,12.1840
0.7950,8.391,12.5130
0.8550,8.590,12.8954
0.9150,8.790,13.2778
0.9750,9.243,13.8692
1.0350,9.243,14.3622
1.0950,9.243,15.0543
1.1550,9.243,15.7280
1.2150,9.243,16.5291
1.2750,9.243,17.2332
1.3350,9.243,17.7675
1.3950,9.243,18.4732
1.4550,9.243,19.3258
1.5150,9.524,19.9875
1.5750,14.038,20.6538
1.6350,16.367,21.2471
1.6950,16.503,22.1269
1.7550,17.783,22.8738
1.8150,23.637,24.0206
1.8750,91.306,26.2963
1.9350,138.000,28.2821
1.9950,302.597,30.2057
2.0550,428.428,30.5397
2.1150,487.798,34.5729
2.1750,503.638,45.9302
2.2350,504.956,56.5244
2.2950,536.895,56.6123
2.3550,554.396,56.9618
2.4150,605.377,57.4624
2.4750,606.553,57.8946
2.5350,606.553,58.0191
2.5950,606.553,58.2530
2.6550,607.807,58.5090
2.7150,616.036,58.5983
2.7750,623.928,58.6047
2.8350,623.928,71.4812
2.8950,631.886,72.0679
2.9550,631.886,72.1362
3.0150,634.837,72.1362
3.0750,649.406,72.1362
3.1350,673.804,72.4000
3.1950,679.146,72.4000
3.2550,679.258,72.4000
3.3150,680.499,72.4000
3.3750,688.419,72.5381
3.4350,692.236,73.6940
3.4950,697.633,74.8150
3.5550,700.281,74.9481
3.6150,700.281,74.9845
3.6750,700.485,75.2107
3.7350,700.899,75.5337
3.7950,712.609,76.7976
3.8550,721.274,76.8677
3.9150,769.092,78.3727
3.9750,784.629,79.0925
4.0350,980.438,79.3043
4.0925,1325.980,80.3912
4.1421,1742.400,80.3912
4.1858,1742.400,81.7510
4.2268,1765.310,81.7510
4.2703,1890.140,81.7510
4.3158,1918.280,87.5442
4.3588,1918.280,88.7826
4.4000,1918.280,88.7826
4.4390,1918.280,88.7826
4.4760,1955.590,90.0373
4.5195,1982.070,90.3198
4.5645,1982.070,90.9641
4.6069,1982.070,96.5698
4.6519,1990.570,97.2108
4.6967,2030.700,98.4750
4.7382,2030.700,99.8374
4.7809,2030.700,99.8564
4.8287,2030.700,99.8564
4.8762,1990.570,102.4890
4.9216,1990.570,103.8450
4.9668,1982.070,103.8530
5.0115,1956.520,103.9420
5.0577,1956.520,106.3800
5.1037,1956.520,107.2180
5.1455,1956.520,107.5610
5.1886,1956.520,109.1040
5.2362,1955.590,109.9390
5.2875,1918.280,112.3460
5.3309,1899.650,113.5700
5.3723,1890.140,113.7030
5.4203,1887.260,120.4930
5.4669,1883.720,121.7430
5.5130,1883.720,122.5820
5.5592,1887.260,122.5820
5.6042,1887.260,125.1720
5.6497,1883.720,125.1720
5.6958,1879.500,126.1910
5.7389,1869.140,126.8620
5.7829,1883.720,126.9000
5.8264,1883.720,127.0130
5.8704,1883.720,127.1400
