step,sim_time,dt,max_speed,max_accel
1,0.015,0.015,0,0
5,0.075,0.015,2.05444,33.7047
9,0.135,0.015,4.18096,20.9359
13,0.195,0.015,5.52107,13.1859
17,0.255,0.015,6.27026,15.2705
21,0.315,0.015,6.84,13.5839
25,0.375,0.015,7.51104,9.53552
29,0.435,0.015,7.99283,11.4091
33,0.495,0.015,8.58962,11.0152
37,0.555,0.015,9.29688,8.78754
41,0.615,0.015,9.90203,6.82827
45,0.675,0.015,10.598,6.56404
49,0.735,0.015,11.333,7.11884
53,0.795,0.015,11.8603,7.85489
57,0.855,0.015,12.515,7.19795
61,0.915,0.015,13.2787,7.58517
65,0.975,0.015,13.8694,6.92685
69,1.035,0.015,14.1926,6.52993
73,1.095,0.015,15.046,6.05109
77,1.155,0.015,15.6937,6.13464
81,1.215,0.015,16.4838,7.23963
85,1.275,0.015,16.8262,7.41997
89,1.335,0.015,17.6659,7.05207
93,1.395,0.015,18.3175,5.92841
97,1.455,0.015,18.9547,5.98816
101,1.515,0.015,19.7441,6.37213
105,1.575,0.015,20.3772,6.0992
109,1.635,0.015,21.0126,7.88998
113,1.695,0.015,21.4886,7.42616
117,1.755,0.015,22.119,6.79936
121,1.815,0.015,22.8042,93.9322
125,1.875,0.015,23.579,130.289
129,1.935,0.015,23.9552,130.832
133,1.995,0.015,24.3524,262.898
137,2.055,0.015,24.9455,379.052
141,2.115,0.015,25.6663,504.743
145,2.175,0.015,38.5811,553.65
149,2.235,0.015,46.5706,503.455
153,2.295,0.015,52.849,594.177
157,2.355,0.015,48.8376,564.988
161,2.415,0.015,45.4766,521.948
165,2.475,0.015,46.7236,582.912
169,2.535,0.015,46.3463,466.996
173,2.595,0.015,48.6528,598.421
177,2.655,0.015,53.4197,467.312
181,2.715,0.015,54.4204,493.67
185,2.775,0.015,54.1701,537.035
189,2.835,0.015,53.6921,482.857
193,2.895,0.015,52.7179,485.387
197,2.955,0.015,51.5853,485.67
201,3.015,0.015,50.319,555.494
205,3.075,0.015,48.7616,490.039
209,3.135,0.015,47.6567,477.172
213,3.195,0.015,47.4376,496.345
217,3.255,0.015,47.3823,501.102
221,3.315,0.015,47.5727,497.1
225,3.375,0.015,47.7312,474.746
229,3.435,0.015,47.516,443.45
233,3.495,0.015,47.466,443.309
237,3.555,0.015,47.5461,425.573
241,3.615,0.015,47.5676,400.47
245,3.675,0.015,47.5572,357.573
249,3.735,0.015,48.3587,392.834
253,3.795,0.015,47.141,389.352
257,3.855,0.015,46.8745,578.971
261,3.915,0.015,47.2962,735.348
265,3.975,0.015,46.2334,770.639
269,4.035,0.015,45.6645,794.891
273,4.095,0.015,45.9532,1051.33
277,4.15054,0.0127499,45.523,1537.9
281,4.19917,0.0115659,49.061,1868.87
285,4.2444,0.0111624,45.8519,2006.44
289,4.29085,0.0120648,58.2677,1717.51
293,4.33988,0.0123211,66.1906,1646.8
297,4.38539,0.0111813,68.6824,1999.65
301,4.4312,0.0117238,71.4393,1818.87
305,4.48161,0.0127993,71.8486,1526.06
309,4.53101,0.0118997,70.7408,1765.5
313,4.57981,0.0131768,71.4746,1439.85
317,4.63302,0.0134282,70.1897,1386.45
321,4.68645,0.0125356,64.2704,1590.94
325,4.73816,0.0130581,64.6897,1466.16
329,4.79389,0.0140777,61.8276,1261.48
333,4.84938,0.0138365,60.0838,1305.84
337,4.90666,0.014483,59.9798,1191.86
341,4.96557,0.0145842,59.6916,1175.37
345,5.01997,0.0137512,59.0551,1322.08
349,5.07534,0.0138741,58.6057,1298.77
353,5.13399,0.0148253,57.4119,1137.45
357,5.19393,0.0149902,56.4169,1112.56
361,5.2529,0.0145808,55.1417,1175.91
365,5.31121,0.0145774,54.6423,1176.46
369,5.37098,0.015,53.5362,1055.82
373,5.43098,0.015,52.9546,996.037
377,5.49098,0.015,52.6801,940.834
381,5.55098,0.015,52.8885,926.186
385,5.61098,0.015,53.0761,927.406
389,5.67098,0.015,52.805,1002.48
393,5.73098,0.015,51.9408,1054.92
397,5.79098,0.015,50.293,1031.61
401,5.85093,0.0149541,48.765,1117.95
405,5.9105,0.0148318,48.1911,1136.46
409,5.96995,0.015,47.5019,1091.49
413,6.02995,0.015,46.5698,956.996
417,6.08995,0.015,45.9279,960.395
421,6.14995,0.015,46.1939,965.162
