sim_time,accel_med,speed_med
0.0150,9.162,8.2912
0.0750,8.788,8.5896
0.1350,8.321,8.9432
0.1950,7.855,9.2969
0.2550,7.720,9.5995
0.3150,7.585,9.9020
0.3750,7.503,10.2500
0.4350,7.420,10.5980
0.4950,7.330,10.9655
0.5550,7.240,11.3330
0.6150,7.219,11.5967
0.6750,7.198,11.8603
0.7350,7.219,12.1877
0.7950,7.240,12.5150
0.8550,7.219,12.8969
0.9150,7.240,13.2787
0.9750,7.420,13.8694
1.0350,7.420,14.1926
1.0950,7.420,15.0460
1.1550,7.420,15.6937
1.2150,7.420,16.4838
1.2750,7.420,16.8262
1.3350,7.420,17.6659
1.3950,7.420,18.3175
1.4550,7.420,18.9547
1.5150,7.420,19.7441
1.5750,7.426,20.3772
1.6350,7.585,21.0126
1.6950,7.855,21.4886
1.7550,7.890,22.1190
1.8150,93.932,22.8042
1.8750,130.289,23.5790
1.9350,130.832,23.9552
1.9950,262.898,24.3524
2.0550,379.052,24.9455
2.1150,466.996,25.6663
2.1750,467.312,38.5811
2.2350,477.172,45.4766
2.2950,482.857,46.3463
2.3550,485.387,46.5706
2.4150,485.670,46.7236
2.4750,485.670,47.3823
2.5350,485.670,47.4376
2.5950,485.670,47.4660
2.6550,485.670,47.5160
2.7150,485.670,47.5461
2.7750,485.670,47.5572
2.8350,485.670,47.5676
2.8950,485.670,47.5676
2.9550,490.039,47.5676
3.0150,493.670,47.5676
3.0750,493.670,47.5676
3.1350,493.670,47.5676
3.1950,493.670,47.5676
3.2550,493.670,47.5572
3.3150,493.670,47.5572
3.3750,493.670,47.5572
3.4350,493.670,47.5676
3.4950,496.345,47.5727
3.5550,496.345,47.5727
3.6150,497.100,47.5727
3.6750,501.102,47.5727
3.7350,501.102,47.5727
3.7950,555.494,47.5727
3.8550,578.971,47.5727
3.9150,735.348,47.5727
3.9750,770.639,47.5727
4.0350,794.891,47.5727
4.0950,1051.330,47.5727
4.1505,1191.860,47.7312
4.1992,1191.860,48.3587
4.2444,1261.480,49.0610
4.2908,1298.770,58.2677
4.3399,1298.770,58.2677
4.3854,1298.770,58.2677
4.4312,1298.770,58.2677
4.4816,1298.770,58.2677
4.5310,1298.770,58.2677
4.5798,1298.770,58.2677
4.6330,1298.770,58.2677
4.6864,1298.770,58.2677
4.7382,1298.770,58.2677
4.7939,1298.770,58.2677
4.8494,1298.770,58.2677
4.9067,1298.770,58.2677
4.9656,1261.480,58.2677
5.0200,1191.860,58.2677
